Team,Week,opponent,spread,score,diff,Year,spreadscore,coverprob,predspread,order,coverprob_diff,predspread_diff
Dallas Cowboys,5,San Francisco 49ers,3.5,,,2023,,0.5445031523704529,-1.4127404689788818,12.0,0.12398630380630493,-4.762200832366943
Denver Broncos,5,New York Jets,-1.5,,,2023,,0.5321012735366821,-3.082387685775757,10.0,0.07084137201309204,2.0186779499053955
Detroit Lions,5,Carolina Panthers,-10.0,,,2023,,0.415254682302475,-4.914283275604248,4.0,-0.021606117486953735,-2.790390968322754
Green Bay Packers,5,Las Vegas Raiders,-1.0,,,2023,,0.4857122004032135,1.2754260301589966,13.0,0.09014454483985901,1.019771695137024
Houston Texans,5,Atlanta Falcons,2.0,,,2023,,0.42398181557655334,-6.589918613433838,2.0,-0.0288144052028656,0.3220548629760742
Indianapolis Colts,5,Tennessee Titans,2.5,,,2023,,0.5154946446418762,3.1122636795043945,5.0,-0.030632197856903076,0.5093638896942139
Jacksonville Jaguars,5,Buffalo Bills,5.5,,,2023,,0.44435983896255493,-7.389976978302002,1.0,0.04293903708457947,-0.5385322570800781
Kansas City Chiefs,5,Minnesota Vikings,-4.0,,,2023,,0.5406714677810669,-6.574986934661865,11.0,0.19601410627365112,-9.949344873428345
Las Vegas Raiders,5,Green Bay Packers,1.0,,,2023,,0.3955676555633545,0.25565433502197266,13.0,-0.09014454483985901,-1.019771695137024
Los Angeles Chargers,5,,,,,2023,,0.594281792640686,0.5941694378852844,,,
Los Angeles Rams,5,Philadelphia Eagles,4.5,,,2023,,0.5093306303024292,-0.16022348403930664,9.0,0.0036766529083251953,-6.083245277404785
Miami Dolphins,5,New York Giants,-10.5,,,2023,,0.4500825107097626,6.829010009765625,6.0,-0.05684426426887512,10.402031183242798
Minnesota Vikings,5,Kansas City Chiefs,4.0,,,2023,,0.34465736150741577,3.3743579387664795,11.0,-0.19601410627365112,9.949344873428345
New England Patriots,5,New Orleans Saints,1.0,,,2023,,0.5958860516548157,6.786945819854736,7.0,0.0155487060546875,11.834935188293457
New Orleans Saints,5,New England Patriots,-1.0,,,2023,,0.5803373456001282,-5.047989368438721,7.0,-0.0155487060546875,-11.834935188293457
New York Giants,5,Miami Dolphins,10.5,,,2023,,0.5069267749786377,-3.573021173477173,6.0,0.05684426426887512,-10.402031183242798
New York Jets,5,Denver Broncos,1.5,,,2023,,0.4612599015235901,-5.101065635681152,10.0,-0.07084137201309204,-2.0186779499053955
Philadelphia Eagles,5,Los Angeles Rams,-4.5,,,2023,,0.505653977394104,5.9230217933654785,9.0,-0.0036766529083251953,6.083245277404785
Pittsburgh Steelers,5,Baltimore Ravens,4.0,,,2023,,0.5058910250663757,-0.8032299876213074,3.0,0.06090819835662842,-1.7529518604278564
San Francisco 49ers,5,Dallas Cowboys,-3.5,,,2023,,0.42051684856414795,3.3494603633880615,12.0,-0.12398630380630493,4.762200832366943
Seattle Seahawks,5,,,,,2023,,0.39631181955337524,-4.675699234008789,,,
Tampa Bay Buccaneers,5,,,,,2023,,0.4722538888454437,0.025705887004733086,,,
Tennessee Titans,5,Indianapolis Colts,-2.5,,,2023,,0.5461268424987793,2.6028997898101807,5.0,0.030632197856903076,-0.5093638896942139
Washington Commanders,5,Chicago Bears,-6.0,,,2023,,0.6020202040672302,2.4367494583129883,0.0,0.13965272903442383,-0.6755142211914062
Arizona Cardinals,4,San Francisco 49ers,14.0,16.0,-19.0,2023,-5.0,0.4274383,0.15277849,12.0,-0.0622406601905822,-1.745077148079872
Atlanta Falcons,4,Jacksonville Jaguars,3.0,7.0,-16.0,2023,-13.0,0.5852724,1.9404604,1.0,0.1326319575309753,2.6467296481132507
Baltimore Ravens,4,Cleveland Browns,2.5,28.0,25.0,2023,27.5,0.60047424,2.0729828,2.0,0.1642475724220276,0.8763167858123779
Buffalo Bills,4,Miami Dolphins,-3.0,48.0,28.0,2023,25.0,0.4274383,-1.1674469,3.0,0.0031648874282836,0.5161949396133423
Carolina Panthers,4,Minnesota Vikings,4.0,13.0,-8.0,2023,-4.0,0.44089308,-0.9763241,4.0,-0.0923118889331817,-1.6937532424926758
Chicago Bears,4,Denver Broncos,3.5,28.0,-3.0,2023,0.5,0.53367794,1.4495355,5.0,0.0549913942813873,0.8578299880027771
Cincinnati Bengals,4,Tennessee Titans,-2.5,3.0,-24.0,2023,-26.5,0.5456828,1.6980437,6.0,0.0768713653087616,1.1818246245384216
Cleveland Browns,4,Baltimore Ravens,-2.5,3.0,-25.0,2023,-27.5,0.43622667,1.196666,2.0,-0.1642475724220276,-0.8763167858123779
Dallas Cowboys,4,New England Patriots,-6.5,38.0,35.0,2023,28.5,0.47868654,-1.0897596,13.0,-0.1067955195903778,-1.9857370257377625
Denver Broncos,4,Chicago Bears,-3.5,31.0,3.0,2023,-0.5,0.47868654,0.5917055,5.0,-0.0549913942813873,-0.8578299880027771
Detroit Lions,4,Green Bay Packers,-1.5,34.0,14.0,2023,12.5,0.72346145,1.7952732,0.0,0.2682742774486542,-0.8830910921096802
Green Bay Packers,4,Detroit Lions,1.5,20.0,-14.0,2023,-12.5,0.45518717,2.6783643,0.0,-0.2682742774486542,0.8830910921096802
Houston Texans,4,Pittsburgh Steelers,3.0,30.0,24.0,2023,27.0,0.42901003,1.3887099,7.0,-0.1060349345207214,0.0145106315612792
Indianapolis Colts,4,Los Angeles Rams,-1.5,23.0,-6.0,2023,-7.5,0.7175409,3.0614824,8.0,0.4985944032669067,4.449153304100037
Jacksonville Jaguars,4,Atlanta Falcons,-3.0,23.0,16.0,2023,13.0,0.4526404,-0.7062692,1.0,-0.1326319575309753,-2.6467296481132507
Kansas City Chiefs,4,New York Jets,-9.5,23.0,3.0,2023,-6.5,0.41261524,1.9848369,14.0,0.094611257314682,3.5780924558639526
Las Vegas Raiders,4,Los Angeles Chargers,5.5,17.0,-7.0,2023,-1.5,0.61157435,1.051717,11.0,-0.0172404050827026,-0.2833799123764038
Los Angeles Chargers,4,Las Vegas Raiders,-5.5,24.0,7.0,2023,1.5,0.62881476,1.335097,11.0,0.0172404050827026,0.2833799123764038
Los Angeles Rams,4,Indianapolis Colts,1.5,29.0,6.0,2023,7.5,0.21894652,-1.3876709,8.0,-0.4985944032669067,-4.449153304100037
Miami Dolphins,4,Buffalo Bills,3.0,20.0,-28.0,2023,-25.0,0.4242734,-1.6836418,3.0,-0.0031648874282836,-0.5161949396133423
